Name,Street,City,State,Zip,Phone,Website,Type,Awards,Campus_setting,Campus_housing,Student_population,Student_to_faculty_ratio
A Better U Beauty Barber Academy,5400 Phoenix Ave NE Suite 105, Albuquerque, New Mexico,87110,(505) 265-4777,http://nces.ed.gov/transfer.asp?sec=true&location=abuacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,35 (all undergraduate),6 to 1
A T Still University of Health Sciences,800 W Jefferson, Kirksville, Missouri,63501,(660) 626-2121,http://nces.ed.gov/transfer.asp?location=www.atsu.edu/,"4-year, Private not-for-profit","Postbaccalaureate certificate, Masters degree, Post-masters certificate, Doctors degree - research/scholarship, Doctors degree - professional practice",Town: Remote,Yes,"3,995 (0 undergraduate)",
Aaniiih Nakoda College,269 Blackfeet Avenue, Harlem, Montana,59526,(406) 353-2607 x3901,http://nces.ed.gov/transfer.asp?location=www.ancollege.edu/,"4-year, primarily associate's, Public","One but less than two years certificate, Associates degree, Bachelors degree",Rural: Remote,No,143 (all undergraduate),10 to 1
Academy for Five Element Acupuncture,305 SE 2nd Ave, Gainesville, Florida,32601,(352) 335-2332,http://nces.ed.gov/transfer.asp?location=www.acupuncturist.edu/,"4-year, Private not-for-profit",Masters degree,City: Midsize,No,91 (0 undergraduate),
Academy for Jewish Religion-California,574 Hilgard Avenue, Los Angeles, California,90024,(213) 884-4133,http://nces.ed.gov/transfer.asp?location=www.ajrca.edu/,"4-year, Private not-for-profit",Masters degree,City: Large,No,61 (0 undergraduate),
ABC Adult School,12254 Cuesta Drive, Cerritos, California,90703-2801,(562) 229-7960,http://nces.ed.gov/transfer.asp?sec=true&location=www.abcadultschool.edu/,"< 2-year, Public","Less than one year certificate, One but less than two years certificate",Suburb: Large,No,195 (all undergraduate),7 to 1
Academy of Hair Design-Grenada,1301 Sunset Dr #JK, Grenada, Mississippi,38901,(601) 372-9800,http://nces.ed.gov/transfer.asp?location=www.academyofhair.com/grenada-campus,"< 2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,34 (all undergraduate),15 to 1
Academy for Nursing and Health Occupations,5154 Okeechobee Blvd Ste 201, West Palm Beach, Florida,33417,(561) 683-1400,http://nces.ed.gov/transfer.asp?location=www.anho.edu/,"2-year, Private not-for-profit","Less than one year certificate, One but less than two years certificate, Associates degree",Suburb: Large,No,703 (all undergraduate),36 to 1
ABC Beauty Academy,2109 Buckingham Rd., Richardson, Texas,75081,(469) 872-0889,http://nces.ed.gov/transfer.asp?location=www.abcbeautyacademy.webs.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Midsize,No,28 (all undergraduate),12 to 1
Academy of Hair Design-Jackson,5420 I-55 Frontage Rd N, Jackson, Mississippi,39211,(601) 372-9800,http://nces.ed.gov/transfer.asp?location=www.academyofhair.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,62 (all undergraduate),15 to 1
Academy for Salon Professionals,19520 Nordhoff St. Unit 9, Northridge, California,91324,(818) 701-5799,http://nces.ed.gov/transfer.asp?location=www.academyla.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Large,No,101 (all undergraduate),13 to 1
ABCO Technology,11222 S. La Cienega Blvd Ste 588, Inglewood, California,90304-1551,(310) 216-3067,http://nces.ed.gov/transfer.asp?location=www.abcotechnology.edu/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,74 (all undergraduate),14 to 1
Academy of Hair Design-Jasper,348 Spring Hill St, Jasper, Texas,75951,(409) 384-8200,http://nces.ed.gov/transfer.asp?location=lufkinhairdesign.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Town: Remote,No,46 (all undergraduate),12 to 1
Academy of Art University,79 New Montgomery, San Francisco, California,94105,(800) 544-2787,http://nces.ed.gov/transfer.asp?location=www.academyart.edu/,"4-year, Private for-profit","Associates degree, Two but less than 4 years certificate, Bachelors degree, Postbaccalaureate certificate, Masters degree",City: Large,Yes,"8,928 (6,124 undergraduate)",14 to 1
Abcott Institute, 16250 Northland Drive  Suite 205, Southfield, Michigan,48075-5227,(248) 440-6020 x102,http://nces.ed.gov/transfer.asp?location=www.abcott.edu/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Small,No,142 (all undergraduate),10 to 1
Academy of Hair Design-Las Vegas, 5191 W. Charleston  #150, Las Vegas, Nevada,89146,(702) 878-1185 x21,http://nces.ed.gov/transfer.asp?location=www.ahdvegas.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Large,No,182 (all undergraduate),10 to 1
Academy of Beauty Professionals,2575 N Mason Street, Green Bay, Wisconsin,54303-4838,(920) 857-1081,http://nces.ed.gov/transfer.asp?location=abpi.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Midsize,No,34 (all undergraduate),10 to 1
Academy of Hair Design-Lufkin,512 S Chestnut, Lufkin, Texas,75904,(936) 634-8440,http://nces.ed.gov/transfer.asp?location=lufkinhairdesign.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Town: Remote,No,83 (all undergraduate),10 to 1
Academy of Beauty Professionals,525 Westhill Boulevard, Appleton, Wisconsin,54914-5780,(920) 815-3375,http://nces.ed.gov/transfer.asp?location=abpwi.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",Suburb: Midsize,No,44 (all undergraduate),10 to 1
Academy of Hair Design-Oklahoma City,2501 W Memorial Rd Suite 229, Oklahoma City, Oklahoma,73134-8055,(405) 842-2031,http://nces.ed.gov/transfer.asp?location=www.academyofhairdesignok.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,57 (all undergraduate),14 to 1
Academy of Beauty Professionals,6414 Odana Road, Madison, Wisconsin,53719,(608) 709-5204,http://nces.ed.gov/transfer.asp?location=abpwi.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Large,No,44 (all undergraduate),10 to 1
Academy of Hair Design-Pearl,3167 Hwy 80 E, Pearl, Mississippi,39208,(601) 372-9800,http://nces.ed.gov/transfer.asp?location=www.academyofhair.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,45 (all undergraduate),10 to 1
Academy of Career Training,3501 W Vine St Ste 111, Kissimmee, Florida,34741,(407) 943-8777,http://nces.ed.gov/transfer.asp?location=academyofcareertraining.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Small,No,67 (all undergraduate),13 to 1
Academy of Hair Design-Springfield,1834 S Glenstone, Springfield, Missouri,65804,(417) 881-3900 x305,http://nces.ed.gov/transfer.asp?location=aohd.com/,"< 2-year, Private for-profit","Less than one year certificate, One but less than two years certificate",City: Midsize,No,260 (all undergraduate),15 to 1
